,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cfile,cbuffer_compress_percentage,cbuffer_compress_chunk,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc,diskutil-TOTAL_READS(KB),diskutil-TOTAL_WRITES(KB),diskutil-TOTAL_READS(MB),diskutil-TOTAL_WRITES(MB),diskutil-TOTAL_READS(GB),diskutil-TOTAL_WRITES(GB),diskutil-rMB/s,diskutil-wMB/s,diskutil-AVGRQ-SZ,diskutil-AVGQU-SZ,diskutil-DEV_UTIL
0,1M,sync,1,randread,1,ram,1,none,none,50,256,9919093062,9.2 GB,0,0.0 B,104835.846344,104.8 µs,0.0,0.0 ns,2.56,0.331905,0.0395238,97.0667,2.93333,,,,,,,,,,,
1,1M,sync,1,randread,1,ssd-raid,1,none,none,50,256,4049945587,3.8 GB,0,0.0 B,258043.771271,258.0 µs,0.0,0.0 ns,1.15133,0.53,0.0704444,98.2469,1.75311,33554500.0,33558840.0,32768.0,32772.0,32.0,32.0,643.959,697.302,22.0298,1.7917,39.4753
2,1M,sync,1,randread,1,zram-lzo,1,none,none,50,256,2532036725,2.4 GB,0,0.0 B,413063.83255,413.1 µs,0.0,0.0 ns,0.790154,0.537077,0.0524615,98.6197,1.38031,33554432.0,33558892.0,32768.0,32772.0,32.0,32.0,475.42,489.144,214.254,0.648806,57.307
3,1M,sync,1,randread,1,zram-zstd,1,none,none,50,256,3070849796,2.9 GB,0,0.0 B,340425.210907,340.4 µs,0.0,0.0 ns,0.300914,0.5676,0.1664,98.9641,1.03594,33554432.0,33559288.0,32768.0,32772.0,32.0,32.0,179.481,185.149,63.7459,1.16294,85.4144
4,1M,sync,1,randread,1,zram-lz4,1,none,none,50,256,3719794128,3.5 GB,0,0.0 B,280830.398315,280.8 µs,0.0,0.0 ns,0.930164,0.546066,0.0745902,98.4482,1.5518,33554432.0,33558912.0,32768.0,32772.0,32.0,32.0,480.081,520.201,146.588,0.609841,53.3529
5,4K,sync,1,randread,1,ram,1,none,none,50,256,2173979017,2.0 GB,0,0.0 B,1360.928723,1.4 µs,0.0,0.0 ns,1.42324,0.315946,0.0378378,98.2216,1.77838,,,,,,,,,,,
6,4K,sync,1,randread,1,ssd-raid,1,none,none,50,256,57662854,55.0 MB,0,0.0 B,70246.246322,70.2 µs,0.0,0.0 ns,0.0865777,0.0767975,0.319859,99.5144,0.485573,33554500.0,33558860.0,32768.0,32772.0,32.0,32.0,51.2419,51.2882,3.74865,0.886745,83.2545
7,4K,sync,1,randread,1,zram-lzo,1,none,none,50,256,759851796,724.7 MB,0,0.0 B,4785.019027,4.8 µs,0.0,0.0 ns,0.543673,0.493469,0.0379592,98.9254,1.07459,33554432.0,33558896.0,32768.0,32772.0,32.0,32.0,326.024,327.726,2.14,0.5057,43.5275
8,4K,sync,1,randread,1,zram-zstd,1,none,none,50,256,761198483,725.9 MB,0,0.0 B,4733.340979,4.7 µs,0.0,0.0 ns,0.286053,0.587053,0.071,99.0548,0.945211,33554432.0,33559200.0,32768.0,32772.0,32.0,32.0,170.63,170.692,1.13542,1.11411,73.4042
9,4K,sync,1,randread,1,zram-lz4,1,none,none,50,256,839701321,800.8 MB,0,0.0 B,4280.561884,4.3 µs,0.0,0.0 ns,0.588495,0.491398,0.0550538,98.8658,1.13419,33554432.0,33558884.0,32768.0,32772.0,32.0,32.0,344.927,344.974,2.08421,0.471263,41.5192
10,64K,sync,1,randread,1,ram,1,none,none,50,256,8027976254,7.5 GB,0,0.0 B,7583.976412,7.6 µs,0.0,0.0 ns,2.55318,0.33,0.0386364,97.0782,2.92182,,,,,,,,,,,
11,64K,sync,1,randread,1,ssd-raid,1,none,none,50,256,664752715,634.0 MB,0,0.0 B,97827.044901,97.8 µs,0.0,0.0 ns,0.602955,0.288864,0.203523,98.9037,1.09625,33554500.0,33558844.0,32768.0,32772.0,32.0,32.0,361.976,364.146,37.1042,1.00578,62.343
12,64K,sync,1,randread,1,zram-lzo,1,none,none,50,256,2114705709,2.0 GB,0,0.0 B,30357.45137,30.4 µs,0.0,0.0 ns,0.794478,0.536866,0.0453731,98.6218,1.37821,33554432.0,33558892.0,32768.0,32772.0,32.0,32.0,461.905,474.965,15.081,0.64942,56.3806
13,64K,sync,1,randread,1,zram-zstd,1,none,none,50,256,2463240258,2.3 GB,0,0.0 B,25848.850691,25.8 µs,0.0,0.0 ns,0.280726,0.555419,0.176257,98.9866,1.01335,33554432.0,33559276.0,32768.0,32772.0,32.0,32.0,169.476,181.055,5.04193,1.13762,84.7831
14,64K,sync,1,randread,1,zram-lz4,1,none,none,50,256,2944279208,2.7 GB,0,0.0 B,21634.641804,21.6 µs,0.0,0.0 ns,0.845082,0.553115,0.05,98.5513,1.44869,33554432.0,33558892.0,32768.0,32772.0,32.0,32.0,494.144,520.2,12.4538,0.638413,53.6186
15,1M,sync,1,randread,256,ram,1,none,none,50,256,85048857346,79.2 GB,0,0.0 B,1888959.466522,1.9 ms,0.0,0.0 ns,3.04294,0.325294,0.00941176,96.6229,3.37706,,,,,,,,,,,
16,1M,sync,1,randread,256,ssd-raid,1,none,none,50,256,23358081827,21.8 GB,0,0.0 B,10655079.680939,10.7 ms,0.0,0.0 ns,1.12511,0.468444,0.301556,98.1016,1.89844,33554432.0,33569612.0,32768.0,32782.0,32.0,32.0,592.051,697.526,5.60468,27.5751,30.2264
17,1M,sync,1,randread,256,zram-lzo,1,none,none,50,256,11856362445,11.0 GB,0,0.0 B,21152860.122498,21.2 ms,0.0,0.0 ns,0.715676,2.72365,0.0341892,96.5278,3.47216,33554432.0,33568752.0,32768.0,32781.0,32.0,32.0,419.051,431.346,40.6912,9.00579,45.2542
18,1M,sync,1,randread,256,zram-zstd,1,none,none,50,256,12422175838,11.6 GB,0,0.0 B,21259517.215057,21.3 ms,0.0,0.0 ns,0.224085,0.978638,0.024766,98.7707,1.22932,33554432.0,33569184.0,32768.0,32782.0,32.0,32.0,116.457,138.315,13.0486,3.29549,82.2485
19,1M,sync,1,randread,256,zram-lz4,1,none,none,50,256,12098499425,11.3 GB,0,0.0 B,20292163.461578,20.3 ms,0.0,0.0 ns,0.723378,2.60703,0.0183784,96.652,3.34797,33554432.0,33569052.0,32768.0,32782.0,32.0,32.0,417.292,431.349,40.6912,8.85803,44.1247
20,4K,sync,1,randread,256,ram,1,none,none,50,256,72184324302,67.2 GB,0,0.0 B,7814.772575,7.8 µs,0.0,0.0 ns,2.47773,0.325,0.0363636,97.16,2.84,,,,,,,,,,,
21,4K,sync,1,randread,256,ssd-raid,1,none,none,50,256,8839654841,8.2 GB,0,0.0 B,116216.453294,116.2 µs,0.0,0.0 ns,1.08222,0.736667,3.41722,94.762,5.23796,33554432.0,33569532.0,32768.0,32782.0,32.0,32.0,537.38,585.418,0.4175,15.242,30.7629
22,4K,sync,1,randread,256,zram-lzo,1,none,none,50,256,7267288148,6.8 GB,0,0.0 B,128444.413599,128.4 µs,0.0,0.0 ns,0.713133,4.35494,0.0345783,94.8993,5.10072,33554432.0,33567852.0,32768.0,32781.0,32.0,32.0,385.507,385.614,0.458824,11.0214,42.3844
23,4K,sync,1,randread,256,zram-zstd,1,none,none,50,256,8237769927,7.7 GB,0,0.0 B,119584.249434,119.6 µs,0.0,0.0 ns,0.229095,1.64601,0.0197531,98.1043,1.89568,33554432.0,33569052.0,32768.0,32782.0,32.0,32.0,133.436,133.799,0.159184,4.52694,80.2628
24,4K,sync,1,randread,256,zram-lz4,1,none,none,50,256,7650799013,7.1 GB,0,0.0 B,122600.016226,122.6 µs,0.0,0.0 ns,0.637195,3.82463,0.0117073,95.5276,4.47244,33554432.0,33568868.0,32768.0,32782.0,32.0,32.0,390.096,390.266,0.464286,10.0681,41.7014
25,64K,sync,1,randread,256,ram,1,none,none,50,256,82595524923,76.9 GB,0,0.0 B,94182.686234,94.2 µs,0.0,0.0 ns,2.83556,0.323889,0.0533333,96.7878,3.21222,,,,,,,,,,,
26,64K,sync,1,randread,256,ssd-raid,1,none,none,50,256,22297039823,20.8 GB,0,0.0 B,737627.562639,737.6 µs,0.0,0.0 ns,1.12444,0.464667,0.0364444,98.3718,1.62822,33554432.0,33569608.0,32768.0,32782.0,32.0,32.0,384.012,697.525,1.51894,5.28234,31.0477
27,64K,sync,1,randread,256,zram-lzo,1,none,none,50,256,11170266049,10.4 GB,0,0.0 B,1358513.046841,1.4 ms,0.0,0.0 ns,0.673243,3.05392,0.0344595,96.2399,3.76014,33554432.0,33567916.0,32768.0,32781.0,32.0,32.0,429.808,431.336,3.60171,8.01711,45.3522
28,64K,sync,1,randread,256,zram-zstd,1,none,none,50,256,11938755513,11.1 GB,0,0.0 B,1309284.128269,1.3 ms,0.0,0.0 ns,0.217754,0.884492,0.0311864,98.8646,1.13542,33554432.0,33569336.0,32768.0,32782.0,32.0,32.0,111.962,137.731,0.881218,2.95445,82.1097
29,64K,sync,1,randread,256,zram-lz4,1,none,none,50,256,11537857074,10.7 GB,0,0.0 B,1284461.890398,1.3 ms,0.0,0.0 ns,0.682368,2.41408,0.0285526,96.8762,3.12382,33554432.0,33567932.0,32768.0,32781.0,32.0,32.0,418.789,420.348,2.68885,7.82474,43.2913
30,1M,sync,1,randwrite,1,ram,1,none,none,50,256,0,0.0 B,5025557754,4.7 GB,0.0,0.0 ns,132978.19809,133.0 µs,3.12333,0.33,0.0416667,96.5033,3.49667,,,,,,,,,,,
31,1M,sync,1,randwrite,1,ssd-raid,1,none,none,50,256,0,0.0 B,3574299216,3.3 GB,0.0,0.0 ns,215991.415894,216.0 µs,5.50667,0.131111,0.113333,94.2511,5.74889,68.0,33559396.0,0.0,32772.0,0.0,32.0,0.495455,2807.16,1.03727,2.08636,46.6036
32,1M,sync,1,randwrite,1,zram-lzo,1,none,none,50,256,0,0.0 B,1034776038,986.8 MB,0.0,0.0 ns,937271.693726,937.3 µs,1.55121,0.395152,0.0215152,98.0342,1.96576,0.0,33560404.0,0.0,32773.0,0.0,32.0,0.004,931.174,0.565143,0.818286,81.782
33,1M,sync,1,randwrite,1,zram-zstd,1,none,none,50,256,0,0.0 B,174907675,166.8 MB,0.0,0.0 ns,5918128.834076,5.9 ms,0.287704,0.396531,0.0216327,99.2936,0.706429,0.0,33573392.0,0.0,32786.0,0.0,32.0,0.000707071,165.238,0.099899,0.968283,96.7504
34,1M,sync,1,randwrite,1,zram-lz4,1,none,none,50,256,0,0.0 B,1044019882,995.7 MB,0.0,0.0 ns,928208.034241,928.2 µs,1.605,0.394062,0.0084375,97.9944,2.00563,0.0,33560440.0,0.0,32773.0,0.0,32.0,0.004,936.404,0.565143,0.819143,81.9466
35,4K,sync,1,randwrite,1,ram,1,none,none,50,256,0,0.0 B,1617537819,1.5 GB,0.0,0.0 ns,1666.816063,1.7 µs,1.91938,0.305937,0.0153125,97.7597,2.24031,,,,,,,,,,,
36,4K,sync,1,randwrite,1,ssd-raid,1,none,none,50,256,0,0.0 B,134079981,127.9 MB,0.0,0.0 ns,29530.389784,29.5 µs,0.232695,0.224102,0.114727,99.4294,0.570625,72.0,36998076.0,0.0,36130.0,0.0,35.0,0.0210078,139.677,0.0596124,0.742364,34.7967
37,4K,sync,1,randwrite,1,zram-lzo,1,none,none,50,256,0,0.0 B,219289018,209.1 MB,0.0,0.0 ns,17708.688061,17.7 µs,0.350513,0.384872,0.0457051,99.2192,0.780833,0.0,35664088.0,0.0,34828.0,0.0,34.0,0.00056962,219.341,0.151899,0.223481,22.1559
